Area,Year,Room,Total Price,PPA,Floor,Location,Garage,WareHouse,Elevator
172,1401,3,6180000000,35930000,3,azdshhr ,True,True,True

180,1401,3,4800000000,26666000,5,azdshhr ,True,True,True

156,1401,3,4368000000,28000000,3,azdshhr ,True,True,True

100,1401,2,8000000000,80000000,3,ayt llh khmnhy ,True,True,True

75,1401,2,3375000000,45000000,1,ayt llh khmnhy ,True,True,True

70,1383,1,3800000000,54285000,2,ayt llh khmnhy ,True,False,False

143,1380,1,5890000000,41188000,2,ayt llh khmnhy ,True,False,False

125,1399,2,1420000000,11360000,1,ayt llh `bdy ,True,True,False

60,1401,1,450000000,7500000,4,ayt llh `bdy ,False,True,False

57,1399,1,455000000,7982000,3,mydn mm Hsyn (blwr yt llh `bdy) ,False,True,False

125,1385,1,1500000000,12000000,0,ayt llh `bdy ,True,True,False

82,1397,2,1600000000,19512000,1,ayt llh `bdy ,True,True,True

55,1393,1,480000000,8727000,0,ayt llh `bdy ,False,False,False

118,1385,2,1300000000,11016000,2,khwchh mThry byst w nh (blwr mThry shmly) ,False,False,False

75,1395,1,1000000000,13333000,3,khwchh `bdy nwd w nhm (blwr ayt llh `bdy) ,True,True,True

160,1400,3,1,15,8,ayt llh `bdy ,True,True,True

65,1396,2,430000000,6615000,0,ayt llh `bdy ,False,False,False

100,1392,2,1150000000,11500000,1,ayt llh `bdy ,False,False,False

95,1394,2,300000000,3157000,3,ayt llh `bdy ,True,True,False

180,1400,3,2500000000,13888000,6,ayt llh `bdy ,True,True,True

65,1388,1,930000000,14307000,3,ayt llh `bdy ,True,True,False

60,1392,1,1200000000,20000000,2,khybn mwHdyn ,True,False,False

84,1390,2,1000000000,11904000,0,khybn wHyd (blwr shhyd mftH) ,False,True,False

50,1398,1,500000000,10000000,1,khybn nwb Sfwy (blwr Tbrsy jnwby) ,False,False,False

170,1400,3,8000000000,47058000,2,bwdhr ,True,True,True

110,1396,2,1250000000,11363000,3,bwdhr ,False,False,False

70,1385,2,1050000000,15000000,3,khybn bwdhr (Tbrsy shSt w pnjm) (blwr Tbrsy jnwby) ,False,False,False

75,1390, Tl`t tms,950000000,12666000,1,bwdhr ,False,True,False

85,1392,2,1400000000,16470000,0,bwdhr ,False,False,False

75,1399,2,260000000,3466000,2,bwdhr ,False,True,False

115,1398,2,1800000000,15652000,1,bwdhr ,True,True,True

200,1390,1,2600000000,13000000,0,bwdhr ,False,True,False

50,1401,1,595000000,11900000,0,khybn wHyd (blwr shhyd mftH) ,False,False,False

70,1401,1,280000000,4000000,0,bwdhr ,True,True,False

83,1388,2,600000000,7228000,1,bwdhr ,False,True,True

260,1401,3,17200000000,66153000,0,blwr nSrkhsrw ,True,True,True

