Area,Year,Room,Total Price,PPA,Floor,Location,Garage,WareHouse,Elevator
135,1393,2,1950000000,14444000,1,ythr ,True,True,True

140,1400,3,2550000000,18214000,3,ythr ,True,True,True

135,1400,3,2200000000,16296000,5,ythr ,True,True,True

80,1401,2,700000000,8750000,3,khybn ystgh twbws ,False,True,False

80,1390,2,1250000000,15625000,2,mydn mftH (blwr shhyd mftH) ,False,True,True

60,1401,2,650000000,10833000,0,ythr ,False,True,False

105,1397,2,1250000000,11904000,0,ythr ,False,True,True

70,1395,1,850000000,12142000,0,ythr ,True,False,False

60,1393,1,670000000,11166000,3,khwchh ythrgrn byst w ykhm (kh. ythrgrn) ,False,False,False

85,1395,2,880000000,10352000,0,ythrgrn ,False,False,False

